City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,gadzhiyevo,69.26,33.34,36.5,70,100,16.8,RU,1697607657
88,punta arenas,-53.15,-70.92,48.31,61,40,12.66,CL,1697607657
89,edinburgh of the seven seas,-37.07,-12.31,54.73,75,100,19.89,SH,1697607657
90,klyuchi,52.27,79.17,58.5,29,11,10.09,RU,1697607657
91,rimus,16.88,120.4,86.05,70,76,6.13,PH,1697607657
92,ramadi,33.42,43.31,79.57,30,0,2.06,IQ,1697607658
93,ikedacho,34.02,133.8,72.82,56,3,4.21,JP,1697607658
94,puerto natales,-51.72,-72.49,39.52,93,69,5.95,CL,1697607658
95,kapuskasing,49.42,-82.43,39.2,87,0,4.61,CA,1697607658
96,georgetown,5.41,100.34,89.53,73,20,8.05,MY,1697607658
97,geraldton,-28.77,114.6,77.41,57,1,14.97,AU,1697607658
98,cabo san lucas,22.89,-109.91,85.75,67,4,3.11,MX,1697607438
99,nguigmi,14.25,13.11,83.93,27,88,11.97,NE,1697607659
100,tolanaro,-25.03,47.0,75.27,88,75,6.91,MG,1697607659
101,maceio,-9.67,-35.74,71.04,94,75,4.61,BR,1697607659
102,nemuro,43.32,145.57,58.6,56,18,4.21,JP,1697607659
103,saint-pierre,-21.34,55.48,82.56,74,75,9.22,RE,1697607659
104,mangai,-4.05,19.53,72.66,96,100,2.35,CD,1697607659
105,konarka,19.9,86.12,90.0,58,12,3.06,IN,1697607659
106,sake,-1.57,29.05,70.7,78,96,1.36,CD,1697607659
107,solnechnyy,50.72,136.63,40.03,82,100,7.72,RU,1697607659
108,peterhead,57.51,-1.8,50.4,70,100,20.07,GB,1697607660
109,namibe,-15.2,12.15,65.98,74,25,2.42,AO,1697607660
110,bredasdorp,-34.53,20.04,63.99,86,6,4.63,ZA,1697607371
111,itaituba,-4.28,-55.98,78.26,68,43,0.81,BR,1697607660
112,ciudad lazaro cardenas,17.96,-102.2,77.2,89,100,3.13,MX,1697607660
113,richards bay,-28.78,32.04,67.86,82,100,1.39,ZA,1697607660
114,luderitz,-26.65,15.16,70.63,49,0,3.74,NA,1697607660
115,lata,40.16,-8.33,63.07,94,81,5.23,PT,1697607660
116,okhotsk,59.38,143.3,24.13,62,60,2.53,RU,1697607661
117,pacific grove,36.62,-121.92,64.24,92,40,0.0,US,1697607513
118,haiku-pauwela,20.92,-156.31,77.04,74,0,8.05,US,1697607661
119,utrik,11.23,169.85,82.54,80,92,17.74,MH,1697607661
120,crieff,56.37,-3.84,52.14,98,100,9.55,GB,1697607661
121,faya-largeau,17.93,19.1,79.52,22,18,22.08,TD,1697607661
122,villa dolores,-31.95,-65.19,66.69,21,100,1.5,AR,1697607661
123,port hedland,-20.32,118.57,102.25,7,0,13.8,AU,1697607661
124,zaozersk,69.4,32.45,32.52,81,100,7.99,RU,1697607662
125,nadi,-17.8,177.42,80.6,74,40,12.66,FJ,1697607662
126,nagqu,31.5,92.0,30.56,82,100,9.28,CN,1697607662
127,zimapan,20.75,-99.35,48.11,95,99,1.52,MX,1697607662
128,badger,64.8,-147.53,33.67,90,100,3.44,US,1697607662
129,kerikeri,-35.23,173.95,60.33,94,100,11.74,NZ,1697607663
130,parry sound,45.35,-80.03,51.71,93,2,3.49,CA,1697607663
131,kone,-21.06,164.87,72.36,84,71,10.42,NC,1697607663
132,east london,-33.02,27.91,65.34,77,0,4.61,ZA,1697607663
133,westport,41.14,-73.36,54.19,85,75,5.75,US,1697607663
134,kiama,-34.68,150.87,69.39,62,24,8.88,AU,1697607378
135,komotini,41.12,25.4,53.78,81,100,7.61,GR,1697607663
136,hammerfest,70.66,23.68,34.25,80,40,10.36,NO,1697607664
137,cherokee,34.27,-84.45,48.88,94,0,0.0,US,1697607593
138,fale old settlement,-9.39,-171.25,83.26,74,32,6.51,TK,1697607664
139,treinta y tres,-33.23,-54.38,39.74,95,1,5.19,UY,1697607664
140,new norfolk,-42.78,147.06,67.5,25,6,3.44,AU,1697607664
141,leirvik,59.78,5.5,42.62,71,100,5.99,NO,1697607664
142,dudinka,69.41,86.18,33.62,98,100,5.99,RU,1697607664
143,kota belud,6.35,116.43,87.87,65,53,6.71,MY,1697607664
144,ulladulla,-35.35,150.47,74.77,51,0,6.73,AU,1697607665
145,tazovsky,67.47,78.7,42.48,93,100,11.48,RU,1697607665
146,lihue,21.98,-159.37,79.84,78,75,4.61,US,1697607665
147,aasiaat,68.71,-52.87,-0.71,92,74,6.15,GL,1697607665
148,valparaiso,-33.04,-71.63,55.04,87,100,8.05,CL,1697607614
149,ingeniero jacobacci,-41.34,-69.54,54.68,23,0,8.46,AR,1697607665
150,bikenibeu village,1.37,173.12,80.56,94,100,14.97,KI,1697607665
151,zhob,31.34,69.45,71.33,23,0,5.75,PK,1697607666
152,kachug,53.96,105.88,42.04,58,81,11.01,RU,1697607666
153,mount gambier,-37.83,140.77,75.2,31,7,4.76,AU,1697607666
154,kingscliff,-28.27,153.57,72.73,68,40,10.36,AU,1697607666
155,olyokminsk,60.37,120.43,34.0,67,99,8.01,RU,1697607666
156,baardheere,2.34,42.28,84.61,63,49,12.95,SO,1697607667
157,beledweyne,4.74,45.2,84.99,60,49,10.8,SO,1697607667
158,jalai nur,49.45,117.7,45.59,39,91,17.43,CN,1697607667
159,kristiansund,63.11,7.73,39.85,93,40,3.44,NO,1697607667
160,keelung,25.13,121.74,89.49,81,97,13.69,TW,1697607667
161,broken hill,-31.95,141.43,77.45,17,0,6.44,AU,1697607451
162,coquimbo,-29.95,-71.34,56.93,88,100,4.61,CL,1697607667
163,sao felix do xingu,-6.64,-51.99,76.82,51,74,0.72,BR,1697607524
164,hermanus,-34.42,19.23,64.71,79,10,8.3,ZA,1697607533
165,tibiri,13.56,7.05,81.97,27,32,7.87,NE,1697607667
166,bantay,17.58,120.39,88.97,65,78,7.85,PH,1697607668
167,green river,41.53,-109.47,55.8,48,38,6.62,US,1697607668
168,portland,45.52,-122.68,57.61,92,0,0.0,US,1697606960
169,bam,29.11,58.36,85.33,19,4,2.75,IR,1697607668
170,iskateley,67.68,53.15,34.02,89,100,8.99,RU,1697607668
